transaction_id,restaurant_id,order_date,total_amount,tip_amount,items_count
T000621,R013,12/29/25,14.96,0,13
T000622,R027,12/7/25,39.66,0,2
T000623,R002,12/31/25,116.13,0.96,3
T000624,R030,12/5/25,10.87,1.11,10
T000625,R030,12/22/25,73.81,0,2
T000626,R012,12/29/25,245.29,1.15,3
T000627,R010,12/23/25,37.6,0.77,6
T000628,R012,12/3/25,297.88,2.13,3
T000629,R011,12/12/25,70.69,2.47,10
T000630,R015,12/26/25,43.13,0.43,8
T000631,R016,12/16/25,63.49,0.27,11
T000632,R017,12/19/25,41.85,0,6
T000633,R026,12/5/25,39.9,3.06,7
T000634,R002,12/22/25,129.95,0,1
T000635,R018,12/25/25,48.9,0,3
T000636,R012,12/29/25,19.25,0.64,3
T000637,R019,12/14/25,74.46,0,2
T000638,R026,12/28/25,71.91,0.84,7
T000639,R023,12/5/25,1.04,2.42,9
T000640,R018,12/15/25,61.17,1.84,4
T000641,R030,12/17/25,4.83,0,12
T000642,R017,12/30/25,14.29,0.46,5
T000643,R030,12/14/25,47.62,2.58,3
T000644,R006,12/30/25,6.13,0.89,11
T000645,R025,12/20/25,59.62,0,9
T000646,R015,12/5/25,62.46,1.41,14
T000647,R003,12/12/25,24.79,0.19,4
T000648,R006,12/16/25,0.22,1.18,5
T000649,R003,12/26/25,11.84,0.41,1
T000650,R030,12/26/25,33.58,0,11
T000651,R029,12/16/25,139.06,0.08,12
T000652,R001,12/21/25,34.97,0,13
T000653,R030,12/7/25,10.53,3.39,2
T000654,R013,12/4/25,35.18,0,12
T000655,R028,12/1/25,27.18,3.17,13
T000656,R021,12/30/25,164,0,9
T000657,R026,12/30/25,3.96,1.44,2
T000658,R014,12/5/25,50.1,1.24,5
T000659,R013,12/23/25,27.28,1.26,13
T000660,R027,12/26/25,115.38,0,8
T000661,R004,12/10/25,14.64,0.25,3
T000662,R007,12/22/25,147.1,0,6
T000663,R022,12/5/25,94.1,0.38,4
T000664,R010,12/4/25,3.79,1.11,11
T000665,R007,12/2/25,479.99,0,7
T000666,R021,12/20/25,166.66,6.02,10
T000667,R015,12/31/25,2.46,2.54,14
T000668,R015,12/10/25,12.53,2.17,13
T000669,R004,12/26/25,43.11,1.15,3
T000670,R023,12/19/25,2.44,0.42,6
T000671,R023,12/26/25,30.54,3.33,12
T000672,R006,12/1/25,14.86,0,10
T000673,R024,12/24/25,33.95,0,9
T000674,R020,12/5/25,1.64,0,11
T000675,R026,12/13/25,71.82,0.62,10
T000676,R005,12/4/25,127.06,0,1
T000677,R020,12/16/25,121.44,0,3
T000678,R012,12/24/25,235,2.41,2
T000679,R001,12/16/25,4.88,0.5,8
T000680,R028,12/23/25,49.7,6.59,7
T000681,R008,12/2/25,0.87,0,2
T000682,R001,12/17/25,0.78,0,6
T000683,R005,12/28/25,13.68,0,3
T000684,R022,12/27/25,23.47,2.36,8
T000685,R006,12/20/25,51.5,0,10
T000686,R029,12/24/25,40.24,0.57,13
T000687,R021,12/12/25,77.29,5.58,3
T000688,R003,12/18/25,11.19,0.6,10
T000689,R015,12/3/25,204.8,3.38,14
T000690,R005,12/28/25,19.44,0,9
T000691,R028,12/1/25,21.01,2.29,1
T000692,R024,12/1/25,6.25,0.03,5
T000693,R014,12/29/25,55.43,3.46,3
T000694,R018,12/19/25,41.41,1.82,6
T000695,R016,12/11/25,8.73,0.51,10
T000696,R006,12/5/25,3.01,0,2
T000697,R025,12/12/25,39.93,0.58,9
T000698,R024,12/3/25,37.2,2.89,6
T000699,R014,12/1/25,11.17,0.17,7
T000700,R027,12/1/25,105.46,1.7,5
T000701,R024,12/8/25,5.73,1.09,9
T000702,R008,12/10/25,19.82,0.11,1
T000703,R029,12/11/25,100.64,0.48,5
T000704,R007,12/12/25,94.7,0,11
T000705,R008,12/29/25,35.61,0,10
T000706,R013,12/13/25,17.74,0.38,11
T000707,R006,12/12/25,11.22,1.6,6
T000708,R018,12/31/25,144.68,0.49,7
T000709,R002,12/14/25,69.91,0.84,12
T000710,R008,12/2/25,78.58,2.38,4
T000711,R011,12/29/25,9.15,0.07,12
T000712,R001,12/19/25,8.39,2.45,13
T000713,R022,12/18/25,1.11,3.35,1
T000714,R029,12/3/25,36.91,0,11
T000715,R006,12/23/25,16.09,0,8
T000716,R016,12/17/25,69.92,3.9,10
T000717,R027,12/26/25,22.43,0,4
T000718,R020,12/8/25,120.68,0.14,3
T000719,R012,12/29/25,34.02,0.62,12
T000720,R011,12/26/25,71.04,2.77,7
T000721,R029,12/10/25,52.46,0.05,12
T000722,R027,12/26/25,51.58,0.92,2
T000723,R029,12/30/25,65.2,9.43,8
T000724,R010,12/2/25,50.1,2.03,14
T000725,R003,12/19/25,34.44,0,6
T000726,R013,12/9/25,4.92,0.09,7
T000727,R027,12/7/25,1.16,3.12,14
T000728,R003,12/4/25,88.77,0.96,5
T000729,R015,12/26/25,33.56,0.17,9
T000730,R016,12/21/25,55.73,0.14,5
T000731,R029,12/18/25,22.99,0,11
T000732,R013,12/13/25,4.37,0,5
T000733,R017,12/11/25,4.68,2.47,3
T000734,R003,12/29/25,40.49,2.96,11
T000735,R020,12/24/25,19.69,1.48,1
T000736,R011,12/4/25,7.83,1.02,2
T000737,R027,12/25/25,23.68,0.99,8
T000738,R021,12/21/25,11.05,0.95,1
T000739,R019,12/29/25,30.53,0,7
T000740,R022,12/25/25,10.97,2.6,14
T000741,R011,12/4/25,55.91,0.97,14
T000742,R030,12/10/25,13.01,0,5
T000743,R028,12/5/25,21.26,1.03,3
T000744,R016,12/9/25,0.41,1.63,12
T000745,R021,12/24/25,10.37,2.53,12
T000746,R003,12/3/25,17.44,1.57,11
T000747,R022,12/17/25,22.88,1.7,7
T000748,R006,12/3/25,32.07,0.28,9
T000749,R014,12/16/25,12.07,0,2
T000750,R024,12/4/25,41.56,0,8
T000751,R018,12/18/25,68.84,0.68,9
T000752,R017,12/17/25,52.97,0,11
T000753,R004,12/7/25,1.41,1.85,3
T000754,R023,12/24/25,22.92,5.26,2
T000755,R015,12/23/25,3.88,1.29,7
T000756,R011,12/30/25,9.7,0,5
T000757,R026,12/5/25,151.1,0,5
T000758,R003,12/12/25,5.38,1.41,10
T000759,R003,12/17/25,24.18,0.08,5
T000760,R016,12/23/25,33.7,0,4
T000761,R005,12/13/25,42.43,0.47,13
T000762,R021,12/23/25,110.39,0,5
T000763,R029,12/25/25,0.34,0,13
T000764,R010,12/3/25,13.83,0,4
T000765,R019,12/9/25,25.52,0,13
T000766,R025,12/30/25,3.22,6.23,6
T000767,R004,12/17/25,15.11,0.42,4
T000768,R029,12/17/25,1.18,0.69,2
T000769,R029,12/30/25,2.86,0,9
T000770,R019,12/20/25,17.7,0,2
T000771,R011,12/16/25,4.98,0.35,9
T000772,R002,12/25/25,101.32,0.65,10
T000773,R010,12/22/25,40.93,1.02,6
T000774,R029,12/13/25,56.43,0.01,9
T000775,R011,12/27/25,7.82,0.01,9
T000776,R025,12/19/25,6.42,0,3
T000777,R020,12/17/25,3.87,0,1
T000778,R016,12/4/25,35.41,0.2,1
T000779,R019,12/12/25,42.9,0.58,3
T000780,R023,12/29/25,1.12,2.84,5
T000781,R024,12/9/25,96.33,1.19,13
T000782,R011,12/19/25,1.87,0.75,3
T000783,R014,12/12/25,27.28,0.49,12
T000784,R002,12/9/25,146.65,11.84,9
T000785,R023,12/7/25,71.67,0.89,9
T000786,R028,12/28/25,43.82,0.16,3
T000787,R005,12/14/25,56.63,1.01,3
T000788,R027,12/31/25,14.51,0.17,12
T000789,R005,12/20/25,59.03,0.59,14
T000790,R019,12/19/25,2.92,1.24,5
T000791,R021,12/26/25,383.92,7.35,2
T000792,R012,12/15/25,109.16,0,6
T000793,R018,12/16/25,59.5,0,7
T000794,R004,12/21/25,21.07,0,13
T000795,R022,12/5/25,36.11,0.2,9
T000796,R017,12/3/25,26.16,0.34,6
T000797,R010,12/12/25,46.03,0.53,3
T000798,R020,12/25/25,2.98,0.58,12
T000799,R006,12/20/25,2.18,0.56,5
T000800,R025,12/27/25,9.93,0,4
T000801,R014,12/21/25,6.08,0,5
T000802,R011,12/4/25,71.89,1.64,8
T000803,R011,12/21/25,8.66,0.52,8
T000804,R029,12/23/25,130.34,2.43,6
T000805,R018,12/16/25,14.38,3.26,1
T000806,R027,12/25/25,7.04,0,8
T000807,R023,12/7/25,54.57,0,8
T000808,R022,12/13/25,37.63,1.77,2
T000809,R018,12/21/25,24.13,0.07,4
T000810,R024,12/10/25,28.37,0.42,12
T000811,R023,12/26/25,44.45,0.06,2
T000812,R011,12/7/25,9.08,1.62,4
T000813,R021,12/14/25,684.77,4.62,12
T000814,R012,12/31/25,540.54,0.33,13
T000815,R005,12/26/25,36.78,0.85,13
T000816,R023,12/5/25,7.79,0.64,10
T000817,R009,12/3/25,39.91,0,7
T000818,R027,12/23/25,2.62,0.14,9
T000819,R025,12/29/25,1.09,0,14
T000820,R009,12/11/25,10.43,2.43,14
T000821,R022,12/11/25,21.74,0,8
T000822,R010,12/18/25,70.95,0.15,12
T000823,R022,12/15/25,45.46,0.61,9
T000824,R019,12/12/25,47.51,3.98,8
T000825,R001,12/9/25,19.4,1.55,2
T000826,R007,12/10/25,74.13,2.12,7
T000827,R004,12/26/25,16.23,0.47,2
T000828,R001,12/12/25,153.79,1.58,13
T000829,R015,12/17/25,1.43,0.01,12
T000830,R008,12/29/25,70.62,1.06,11
T000831,R012,12/6/25,137.82,8.76,2
T000832,R022,12/7/25,20.21,1,4
T000833,R022,12/14/25,45.22,0,1
T000834,R018,12/13/25,23.34,0,5
T000835,R015,12/8/25,72.34,0.18,6
T000836,R017,12/10/25,80.84,4.07,9
T000837,R029,12/9/25,19.17,0.07,10
T000838,R014,12/18/25,11.34,0.8,8
T000839,R014,12/27/25,31.41,0,2
T000840,R018,12/26/25,85.21,0,1
T000841,R020,12/2/25,8.28,0.96,2
T000842,R018,12/5/25,34.14,0.61,7
T000843,R016,12/29/25,34.95,1.16,4
T000844,R001,12/5/25,46.23,1.21,10
T000845,R023,12/6/25,4.94,0,5
T000846,R027,12/19/25,44.04,0.18,12
T000847,R011,12/8/25,83.9,0,7
T000848,R015,12/16/25,6.93,0,3
T000849,R012,12/13/25,29.37,2.72,10
T000850,R008,12/1/25,124.4,0,2
T000851,R022,12/22/25,6.99,0,13
T000852,R020,12/20/25,67.44,1.65,7
T000853,R030,12/17/25,23.72,0,5
T000854,R006,12/31/25,9.94,1.56,14
T000855,R003,12/7/25,71.61,0.56,1
T000856,R028,12/25/25,20.63,0,1
T000857,R024,12/13/25,25.31,0,9
T000858,R026,12/4/25,15.58,0.83,5
T000859,R030,12/4/25,31.46,2.8,1
T000860,R013,12/6/25,6.25,1.81,7
T000861,R013,12/28/25,17.36,3.41,9
T000862,R002,12/31/25,607.46,8.93,11
T000863,R005,12/19/25,10.45,0.99,1
T000864,R017,12/29/25,37.42,0.54,10
T000865,R006,12/12/25,13.77,1.22,14
T000866,R002,12/22/25,256.03,1.3,13
T000867,R004,12/7/25,4.91,0,4
T000868,R022,12/27/25,122.52,1.71,14
T000869,R026,12/10/25,21.17,1.63,3
T000870,R011,12/26/25,9.42,0.49,5
T000871,R008,12/19/25,2.67,0.26,7
T000872,R012,12/7/25,22.24,0,8
T000873,R008,12/30/25,25.67,0.16,13
T000874,R011,12/3/25,14.38,0,2
T000875,R022,12/13/25,61.79,0,7
T000876,R020,12/13/25,19.73,0.18,14
T000877,R008,12/18/25,10.01,0.04,14
T000878,R029,12/28/25,33.6,0,1
T000879,R008,12/30/25,42.94,0,7
T000880,R026,12/26/25,6.4,0,8
T000881,R030,12/20/25,6.42,0,2
T000882,R017,12/28/25,1.31,0.55,9
T000883,R020,12/8/25,46.67,0.39,1
T000884,R020,12/29/25,38.15,1.98,13
T000885,R023,12/31/25,22.53,1.63,6
T000886,R016,12/9/25,65.06,0,1
T000887,R014,12/7/25,57.34,0.34,3
T000888,R030,12/1/25,30.81,0,11
T000889,R011,12/3/25,70.95,0.85,6
T000890,R007,12/13/25,27.34,0,3
T000891,R016,12/28/25,4.15,0.27,8
T000892,R013,12/30/25,11,1.16,5
T000893,R027,12/25/25,2.06,0.04,2
T000894,R015,12/31/25,26.51,0,4
T000895,R024,12/28/25,96.54,4.65,9
T000896,R016,12/17/25,1.4,0.85,4
T000897,R027,12/25/25,4.56,0,10
T000898,R021,12/24/25,103.52,0,10
T000899,R023,12/1/25,95.07,0.69,8
T000900,R024,12/6/25,13.3,0.18,5
T000901,R009,12/21/25,24.77,0.03,11
T000902,R003,12/6/25,1.49,2.47,11
T000903,R019,12/26/25,5.62,1.07,10
T000904,R020,12/12/25,151.02,0.6,13
T000905,R005,12/13/25,117.45,4.03,13
T000906,R010,12/13/25,0.17,0.22,14
T000907,R017,12/29/25,106.14,3.28,1
T000908,R015,12/15/25,35.67,0,7
T000909,R023,12/21/25,70.85,3.07,3
T000910,R025,12/16/25,21.23,1.29,10
T000911,R008,12/22/25,25.37,3.07,8
T000912,R015,12/21/25,23.49,5.79,14
T000913,R021,12/11/25,125.23,1.06,12
T000914,R030,12/28/25,5.26,3.41,3
T000915,R014,12/5/25,1.07,0.52,1
T000916,R020,12/4/25,12.88,0,5
T000917,R028,12/3/25,42.69,0.44,2
T000918,R007,12/19/25,34.73,1.51,11
T000919,R021,12/20/25,163.65,0,4
T000920,R023,12/25/25,122.63,1.13,1
T000921,R012,12/18/25,12.77,2.96,9
T000922,R017,12/15/25,39.08,2.51,6
T000923,R017,12/9/25,20.53,2.51,8
T000924,R010,12/17/25,70.91,0,11
T000925,R030,12/14/25,6.82,0.5,4
T000926,R029,12/15/25,41.29,0.32,9
T000927,R019,12/31/25,63.73,0,2
T000928,R014,12/1/25,101.27,0,9
T000929,R011,12/21/25,40.24,0,12
T000930,R002,12/22/25,94.95,1.3,5
T000931,R018,12/22/25,33.67,4.75,13
T000932,R007,12/3/25,312.81,0,6
T000933,R012,12/16/25,108.33,0,3
T000934,R026,12/23/25,1.08,0,4
T000935,R002,12/25/25,357.82,0.49,6
T000936,R027,12/11/25,40.94,1.03,7
T000937,R020,12/12/25,39.5,1.03,1
T000938,R018,12/10/25,8.5,1.17,7
T000939,R006,12/16/25,37.64,0,1
T000940,R024,12/8/25,17.52,8.91,5
T000941,R010,12/6/25,36.87,3.72,6
T000942,R020,12/12/25,3.94,1.03,13
T000943,R015,12/24/25,37.54,1.18,2
T000944,R005,12/28/25,260.46,1.36,13
T000945,R020,12/21/25,1.73,0.39,10
T000946,R003,12/8/25,132.3,0.88,9
T000947,R005,12/26/25,18.28,0.06,14
T000948,R030,12/28/25,71.61,0.9,10
T000949,R025,12/4/25,53.38,0.82,6
T000950,R008,12/26/25,29.3,0,7
T000951,R008,12/8/25,46.94,5.82,14
T000952,R008,12/26/25,73.78,3.36,10
T000953,R012,12/28/25,75.16,4.36,8
T000954,R024,12/18/25,13.86,1.33,11
T000955,R023,12/28/25,38.55,2.86,13
T000956,R008,12/28/25,57.73,0.15,10
T000957,R011,12/5/25,50.28,2.74,1
T000958,R014,12/9/25,55.95,0.14,14
T000959,R008,12/4/25,20.02,2.21,8
T000960,R029,12/27/25,59.6,0,4
T000961,R030,12/22/25,4.48,0,10
T000962,R024,12/31/25,27.52,5.05,8
T000963,R028,12/17/25,0.2,0.23,13
T000964,R010,12/9/25,13.74,0.65,6
T000965,R007,12/1/25,58.02,13.16,11
T000966,R028,12/21/25,17.66,0.92,9
T000967,R017,12/20/25,41.61,2.79,11
T000968,R004,12/13/25,17.22,0.93,4
T000969,R029,12/28/25,20.84,0.82,2
T000970,R013,12/16/25,9.49,0.47,14
T000971,R004,12/29/25,16.35,0.32,2
T000972,R005,12/13/25,9.02,2.01,5
T000973,R026,12/14/25,2.66,0.51,10
T000974,R022,12/3/25,32.37,1.25,9
T000975,R004,12/29/25,38.61,1.19,12
T000976,R018,12/6/25,33.82,1.51,3
T000977,R006,12/18/25,21.79,3.51,8
T000978,R024,12/19/25,16.72,0,4
T000979,R024,12/5/25,69.66,0,6
T000980,R023,12/15/25,25.62,3.08,10
T000981,R022,12/25/25,22.83,1.52,6
T000982,R002,12/2/25,4.04,0,3
T000983,R023,12/10/25,14.61,4.37,14
T000984,R011,12/24/25,16.74,0,5
T000985,R028,12/30/25,17.81,0.16,12
T000986,R014,12/18/25,30.38,3.37,3
T000987,R030,12/27/25,26.7,0,11
T000988,R005,12/13/25,32.77,1.97,11
T000989,R006,12/5/25,50.67,0,1
T000990,R010,12/23/25,58.68,0,7
T000991,R008,12/24/25,44.32,0,4
T000992,R014,12/1/25,108.95,1.04,14
T000993,R024,12/22/25,0.64,0.75,7
T000994,R003,12/1/25,7.63,0,3
T000995,R012,12/18/25,1.09,7.48,12
T000996,R016,12/15/25,36.49,0.03,11
T000997,R028,12/17/25,79.91,0.91,5
T000998,R030,12/11/25,9.77,0,5
T000999,R023,12/21/25,91.62,1.35,13
T001000,R017,12/26/25,2.18,1.24,2
